id;author;author-aux;author-orcid;booktitle;cdate;cdrom;cite;cite-label;crossref;editor;editor-orcid;ee;ee-type;i;journal;key;mdate;month;note;note-label;note-type;number;pages;publisher;publnr;publtype;sub;sup;title;title-bibtex;tt;url;volume;year
3711;;;;;;;;;;;;;;;;dblpnote/error;2017-06-08;;;;;;;;;informal;;;(error);;;;;
3712;;;;;;;;;;;;;;;;dblpnote/ellipsis;2017-06-08;;;;;;;;;informal;;;…;;;;;
3713;;;;;;;;;;;;;;;;dblpnote/neverpublished;2017-06-08;;;;;;;;;informal;;;(was never published);;;;;
4105295;Clement T. Yu|Hai He|Weiyi Meng|Yiyao Lu|Zonghuan Wu;;;;;;;;;;;https://doi.org/10.1007/s11280-006-0010-9;;;World Wide Web;conf/www/HeMLYW07;2017-05-23;;;;;2;133-155;;;;;;Towards Deeper Understanding of the Search Interfaces of the Deep Web.;;;db/journals/www/www10.html#HeMLYW07;;2007
4106479;Fatih Gelgi|Hasan Davulcu|Srinivas Vadrevu;;;;;;;;;;;https://doi.org/10.1007/s11280-007-0021-1;;;World Wide Web;conf/www/VadrevuGD07;2017-05-23;;;;;2;157-179;;;;;;Information Extraction from Web Pages Using Presentation Regularities and Domain Knowledge.;;;db/journals/www/www10.html#VadrevuGD07;;2007
4107897;Daniel A. Menascé|Vasudeva Akula;;;;;;;;;;;https://doi.org/10.1007/s11280-006-0011-8;;;World Wide Web;conf/www/MenasceA07;2017-05-23;;;;;2;181-204;;;;;;Improving the Performance of Online Auctions Through Server-side Activity-based Caching.;;;db/journals/www/www10.html#MenasceA07;;2007
4108498;Hongjian Fan|Kotagiri Ramamohanarao;;0000-0003-3304-9268;;;;;;;;;https://doi.org/10.1007/s11280-006-0012-7;;;World Wide Web;conf/www/RamamohanaraoF07;2017-06-05;;;;;1;71-83;;;;;;Patterns Based Classifiers.;;;db/journals/www/www10.html#RamamohanaraoF07;;2007
4108959;Bing Liu 0001|Yanhong Zhai;;;;;;;;;;;https://doi.org/10.1007/s11280-007-0022-0|https://www.wikidata.org/entity/Q107903351;;;World Wide Web;conf/www/ZhaiL07;2022-03-16;;;;;2;113-132;;;;;;Extracting Web Data Using Instance-Based Learning.;;;db/journals/www/www10.html#ZhaiL07;;2007
4109199;Anne H. H. Ngu|Erich J. Neuhold|Masaru Kitsuregawa;;;;;;;;;;;https://doi.org/10.1007/s11280-007-0023-z;;;World Wide Web;conf/www/NguKN07;2017-05-23;;;;;2;111-112;;;;;;Editorial.;;;db/journals/www/www10.html#NguKN07;;2007
4109511;Morgan Ericsson;;0000-0003-1173-5187;;;;;;;;;https://doi.org/10.1007/s11280-007-0032-y;;;World Wide Web;conf/www/Ericsson07;2017-06-05;;;;;3;279-307;;;;;;The Effects of XML Compression on SOAP Performance.;;;db/journals/www/www10.html#Ericsson07;;2007
